Date,Bullish,Neutral,Bearish,BullBearSpread
1991-03-15,55.0000,22.0000,23.0000,32.0000
1991-03-22,42.0000,31.0000,27.0000,15.0000
1991-03-29,47.0000,28.0000,25.0000,22.0000
1991-04-05,58.0000,22.0000,20.0000,38.0000
1991-04-12,43.0000,32.0000,25.0000,18.0000
1991-04-19,39.0000,39.0000,22.0000,17.0000
1991-04-26,55.0000,28.0000,17.0000,38.0000
1991-05-03,39.0000,33.0000,28.0000,11.0000
1991-05-10,38.0000,34.0000,28.0000,10.0000
1991-05-17,42.0000,32.0000,26.0000,16.0000
1991-05-24,38.0000,39.0000,23.0000,15.0000
1991-05-31,42.0000,35.0000,23.0000,19.0000
1991-06-07,46.0000,37.0000,17.0000,29.0000
1991-06-14,47.0000,31.0000,22.0000,25.0000
1991-06-21,44.0000,40.0000,16.0000,28.0000
1991-06-28,28.0000,37.0000,35.0000,-7.0000
1991-07-03,28.0000,39.0000,33.0000,-5.0000
1991-07-12,41.0000,39.0000,20.0000,21.0000
1991-07-19,27.0000,51.0000,22.0000,5.0000
1991-07-26,35.0000,42.0000,23.0000,12.0000
1991-08-02,33.0000,36.0000,31.0000,2.0000
1991-08-09,26.0000,45.0000,29.0000,-3.0000
1991-08-16,37.0000,33.0000,30.0000,7.0000
1991-08-23,32.0000,36.0000,32.0000,0.0000
1991-08-30,41.0000,40.0000,19.0000,22.0000
1991-09-06,36.0000,31.0000,33.0000,3.0000
1991-09-13,43.0000,39.0000,18.0000,25.0000
1991-09-20,32.0000,48.0000,20.0000,12.0000
1991-09-27,31.0000,38.0000,31.0000,0.0000
1991-10-04,35.0000,30.0000,35.0000,0.0000
1991-10-11,39.0000,37.0000,24.0000,15.0000
1991-10-18,30.0000,31.0000,39.0000,-9.0000
1991-10-25,31.0000,36.0000,33.0000,-2.0000
1991-11-01,52.0000,12.0000,36.0000,16.0000
1991-11-08,32.0000,36.0000,32.0000,0.0000
1991-11-15,38.0000,33.0000,29.0000,9.0000
1991-11-22,48.0000,32.0000,20.0000,28.0000
1991-11-27,33.0000,27.0000,40.0000,-7.0000
1991-12-06,23.0000,32.0000,45.0000,-22.0000
1991-12-13,33.0000,36.0000,31.0000,2.0000
1991-12-20,36.0000,30.0000,34.0000,2.0000
1991-12-27,39.0000,29.0000,32.0000,7.0000
1992-01-03,49.0000,20.0000,31.0000,18.0000
1992-01-10,48.0000,27.0000,25.0000,23.0000
1992-01-17,51.0000,21.0000,28.0000,23.0000
1992-01-24,46.0000,25.0000,29.0000,17.0000
1992-01-31,47.0000,26.0000,27.0000,20.0000
1992-02-07,36.0000,39.0000,25.0000,11.0000
1992-02-14,46.0000,28.0000,26.0000,20.0000
1992-02-21,47.0000,25.0000,28.0000,19.0000
1992-02-28,43.0000,36.0000,21.0000,22.0000
1992-03-06,45.0000,29.0000,26.0000,19.0000
1992-03-13,38.0000,35.0000,27.0000,11.0000
1992-03-20,48.0000,29.0000,23.0000,25.0000
1992-03-27,43.0000,35.0000,22.0000,21.0000
1992-04-03,35.0000,42.0000,23.0000,12.0000
1992-04-10,43.0000,27.0000,30.0000,13.0000
1992-04-17,37.0000,38.0000,25.0000,12.0000
1992-04-24,52.0000,34.0000,14.0000,38.0000
1992-05-01,29.0000,36.0000,35.0000,-6.0000
1992-05-08,43.0000,31.0000,26.0000,17.0000
1992-05-15,40.0000,37.0000,23.0000,17.0000
1992-05-22,48.0000,24.0000,28.0000,20.0000
1992-05-29,41.0000,43.0000,16.0000,25.0000
1992-06-05,41.0000,40.0000,19.0000,22.0000
1992-06-12,31.0000,46.0000,23.0000,8.0000
1992-06-19,35.0000,37.0000,28.0000,7.0000
1992-06-26,39.0000,34.0000,27.0000,12.0000
1992-07-02,21.0000,44.0000,35.0000,-14.0000
1992-07-09,23.0000,42.0000,35.0000,-12.0000
1992-07-17,29.0000,40.0000,31.0000,-2.0000
1992-07-24,32.0000,44.0000,24.0000,8.0000
1992-07-31,22.0000,47.0000,31.0000,-9.0000
1992-08-05,28.0000,39.0000,33.0000,-5.0000
1992-08-14,26.0000,37.0000,37.0000,-11.0000
1992-08-21,22.0000,34.0000,44.0000,-22.0000
1992-08-28,30.0000,37.0000,33.0000,-3.0000
1992-09-04,14.0000,44.0000,42.0000,-28.0000
1992-09-11,22.0000,39.0000,39.0000,-17.0000
1992-09-18,21.0000,42.0000,37.0000,-16.0000
1992-09-25,25.0000,34.0000,41.0000,-16.0000
1992-10-02,30.0000,35.0000,35.0000,-5.0000
1992-10-09,21.0000,35.0000,44.0000,-23.0000
1992-10-16,20.0000,24.0000,56.0000,-36.0000
1992-10-23,21.0000,32.0000,47.0000,-26.0000
1992-10-30,35.0000,35.0000,30.0000,5.0000
1992-11-06,49.0000,27.0000,24.0000,25.0000
1992-11-13,37.0000,44.0000,19.0000,18.0000
1992-11-20,48.0000,38.0000,14.0000,34.0000
1992-11-25,43.0000,37.0000,20.0000,23.0000
1992-12-04,37.0000,39.0000,24.0000,13.0000
1992-12-11,43.0000,42.0000,15.0000,28.0000
1992-12-18,63.0000,27.0000,10.0000,53.0000
1992-12-24,55.0000,30.0000,15.0000,40.0000
1993-01-01,60.0000,27.0000,13.0000,47.0000
1993-01-08,20.0000,49.0000,31.0000,-11.0000
1993-01-15,54.0000,32.0000,14.0000,40.0000
1993-01-22,41.0000,38.0000,21.0000,20.0000
1993-01-29,40.0000,37.0000,23.0000,17.0000
1993-02-05,44.0000,34.0000,22.0000,22.0000
1993-02-12,47.0000,31.0000,22.0000,25.0000
1993-02-19,46.0000,27.0000,27.0000,19.0000
1993-02-26,34.0000,32.0000,34.0000,0.0000
1993-03-05,27.0000,36.0000,37.0000,-10.0000
1993-03-12,45.0000,33.0000,22.0000,23.0000
1993-03-19,41.0000,32.0000,27.0000,14.0000
1993-03-26,43.0000,34.0000,23.0000,20.0000
1993-04-02,37.0000,36.0000,27.0000,10.0000
1993-04-09,32.0000,39.0000,29.0000,3.0000
1993-04-16,31.0000,35.0000,34.0000,-3.0000
1993-04-23,28.0000,42.0000,30.0000,-2.0000
1993-04-30,22.0000,37.0000,41.0000,-19.0000
1993-05-07,21.0000,45.0000,34.0000,-13.0000
1993-05-14,20.0000,41.0000,39.0000,-19.0000
1993-05-21,21.0000,34.0000,45.0000,-24.0000
1993-05-28,24.0000,37.0000,39.0000,-15.0000
1993-06-04,33.0000,39.0000,28.0000,5.0000
1993-06-11,23.0000,36.0000,41.0000,-18.0000
1993-06-18,22.0000,35.0000,43.0000,-21.0000
1993-06-25,28.0000,38.0000,34.0000,-6.0000
1993-07-02,18.0000,44.0000,38.0000,-20.0000
1993-07-09,21.0000,45.0000,34.0000,-13.0000
1993-07-16,22.0000,44.0000,34.0000,-12.0000
1993-07-23,24.0000,43.0000,33.0000,-9.0000
1993-07-30,25.0000,45.0000,30.0000,-5.0000
